shopify_id,handle,title,vendor,current_type,suggested_type,confidence,validation_status,reasoning,alternative_types,cat_title,cat_slug,tags,collections,model_used,vision_escalated,suggested_brand_handles
gid://shopify/Product/10111694340388,jurox-promectin-plus-allwormer-paste-for-horses-32-4g,Jurox Promectin PLUS Allwormer Paste for Horses - 32.4g,Shire Saddleworld,(No Product Type),STABLE: Wormers,89,auto,Title indicates allwormer paste for horses (wormer).,Health Care; Horse Health & Tack Care,Horse > Stable Accessories > STABLE: Wormers,/horse/stable/wormers,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10117387190564,bvertigo-kayla-show-shirt-vdb,BVertigo Kayla Show Shirt VDB,Shire Saddleworld,(No Product Type),Show Shirt,93,auto,Title and description explicitly state 'show shirt' with show-ready design features.,Ladies Shirt; shirts,Clothing > Tops > Show Shirt,/clothing/tops/show-shirts,,on-sale; globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10117398757668,ariat-sunstopper-2-0-black,Ariat Sunstopper 2.0 Black,Shire Saddleworld,(No Product Type),Ladies Shirt,86,auto,Ariat Sunstopper is a performance base layer top; best fit among apparel types is Ladies Shirt.,Ladies Top; Shirts & Tops,Clothing > Ladies Clothing > Ladies Top,/clothing/womens/tops,,on-sale; globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,ariat
gid://shopify/Product/10117398790436,ariat-sunstopper-2-0-navy,Ariat Sunstopper 2.0 Navy,Shire Saddleworld,(No Product Type),Ladies Shirt,88,auto,Ariat Sunstopper is a base layer top with zip collar; a riding shirt/top. No other apparel type fits better.,Ladies Top; shirt,Clothing > Ladies Clothing > Ladies Top,/clothing/womens/tops,,on-sale; globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,ariat
gid://shopify/Product/10128141812004,horze-addison-womens-fleece-headband,Horze Addison Women's Fleece Headband,Shire Saddleworld,(No Product Type),Head Band,88,auto,Product is a fleece headband for warmth under helmet; best match is Head Band.,Hair Accessories; Hats & Accessories,Rider > Rider Accessories > Head Band,/rider/accessories/headbands,,on-sale; globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10128143941924,horze-romy-cap,Horze Romy Cap,Shire Saddleworld,(No Product Type),cap,93,auto,Title and description identify a breathable unisex cap for sun protection.,Caps; hats,Clothing > Clothing Accessories > Caps,/clothing/accessories/caps,,on-sale; globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076317476,ariat-uni-tri-factor-cap-relic,Ariat Uni Tri Factor Cap Relic,Shire Saddleworld,(No Product Type),cap,94,auto,Title includes 'Cap' and description refers to a cap with cooling headband; this is headwear.,Caps; CLOTHING: Hats & Caps,Clothing > Clothing Accessories > Caps,/clothing/accessories/caps,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,ariat
gid://shopify/Product/10131076350244,gift-card-3,Gift Card,Shire Saddleworld,(No Product Type),Gift Card,98,auto,Title explicitly states Gift Card; no other product details given.,Gift Certificates; Gifts,Accessories > Gift Certificates,/accessories/gift-cards,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076415780,tc-unisex-pony-slippers,TC Unisex Pony Slippers,Shire Saddleworld,(No Product Type),FOOTWEAR: Casual Footwear,78,auto,Title indicates slippers (casual footwear).,Footwear & Chaps; Womens Footwear,Clothing > FOOTWEAR: Equestrian Footwear > casual footwear,/clothing/footwear/casual,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076481316,saddle,Saddle,Shire Saddleworld,(No Product Type),Saddle,70,auto,Title is 'Saddle' with no further detail; choose general Saddle type.,saddles; SADDLES: All Purpose Saddles,Horse > Saddles,/horse/saddles,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076546852,luxe-breeches-black,Luxe Breeches - Black,Shire Saddleworld,(No Product Type),breeches,86,auto,Product title and description explicitly state 'Breeches' for riding apparel.,Breeches & Riding Tights; Ladies Breeches,Clothing > Ladies Clothing > Ladies Breeches,/clothing/womens/breeches,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076645156,grainge-velvet-jump-black,Grainge Velvet Jump Black,Shire Saddleworld,(No Product Type),Jump Pad,72,auto,"Title includes 'Jump' and description references wither relief, piping, and loops typical of a jump saddle pad.",saddle pad; Saddle Pads & Blankets,Horse > Saddle Cloth > Jump Pad,/horse/pads/jumping,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076710692,vetsense-flygon-1,Vetsense Flygon,Shire Saddleworld,(No Product Type),Fly Repellant,62,needs-review,"Title indicates Flygon, a fly repellent product; best match among fly control categories.",Fly Control; Insect Repellent,Horse > Stable Accessories > Fly Repellant,/horse/stable/fly-repellent,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076743460,split-leather-foot-pads,Split Leather Foot Pads,Shire Saddleworld,(No Product Type),Stirrup Irons - Stirrup Accessories,55,needs-review,"Title says 'Foot Pads', which are typically pads for stirrup irons; no other context provided.",Stirrups; Saddle Accessories,Horse > Strapping > Stirrups,/horse/tack/stirrup-irons,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076776228,necklace-bead-charm-purple,Necklace bead charm purple,Shire Saddleworld,(No Product Type),Charm Bead,72,auto,Title indicates a bead charm for a necklace.,bead; Necklace,Rider > RIDER: Jewellery > bead,/rider/jewellery/charms,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076841764,ariat-uni-cotton-print-cap-charcoal-bit-print,Ariat Uni Cotton Print Cap Charcoal Bit Print,Shire Saddleworld,(No Product Type),cap,93,auto,Title/description identify a cotton cap.,Caps; Hat,Clothing > Clothing Accessories > Caps,/clothing/accessories/caps,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,ariat
gid://shopify/Product/10131076874532,small-fleece-boot-black-blue-pony,Small Fleece boot black/blue Pony,Shire Saddleworld,(No Product Type),Horse Boots,72,auto,"Title indicates a pony fleece boot, which is a type of horse leg boot.",Horse Boots & Bandages; Boots,Horse > HORSE: Horse Boots,/horse/boots,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131076940068,prazivec-all-wormer-6-42,Prazivec All Wormer 6.42,Shire Saddleworld,(No Product Type),STABLE: Wormers,74,auto,Title indicates a wormer; in equestrian context best matches STABLE: Wormers.,Health Care; Supplements,Horse > Stable Accessories > STABLE: Wormers,/horse/stable/wormers,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131077071140,eureka-summer-ripstop-rug,Eureka Summer Ripstop Rug,Shire Saddleworld,(No Product Type),"RUGS: Summer Rugs, Neck Rugs & Hoods",86,auto,Title and description specify a summer ripstop rug for a horse; summer rugs category is most specific.,Horse Rug; Rugs,"Horse > Rug > RUGS: Summer Rugs, Neck Rugs & Hoods",/horse/rugs/summer,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131077136676,ouraye-airbag-harcour-x-hit-air,Ouraye Airbag Harcour x Hit-Air,Shire Saddleworld,(No Product Type),Body Protector,90,auto,Airbag vest providing protection for chest/spine/neck; wearable safety gear fits body protector category.,Back Protectors; RIDER: Body Protectors,Rider > Back Protectors,/rider/body-protectors,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131077169444,wanderer-crushable-hat-57-fawn,Wanderer Crushable Hat 57 Fawn,Shire Saddleworld,(No Product Type),Hat,86,auto,"Title contains 'Hat', no other details; best match is Hat.",hats; CLOTHING: Hats & Caps,Clothing > Clothing Accessories > beanies,/clothing/accessories/hats,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131077202212,zilco-curved-mth-5-5-snaffle,zilco curved mth 5.5 Snaffle,Shire Saddleworld,(No Product Type),Bits,93,auto,Title includes 'snaffle' which is a horse bit; product name indicates a bit.,HORSE: Bits; Bits - Bit Accessories,Horse > Bits,/horse/bits,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,zilco
gid://shopify/Product/10131077366052,ojai-shirt,OJAI SHIRT,Shire Saddleworld,(No Product Type),shirt,78,auto,Title and description indicate a button-down shirt; no explicit gender/age category beyond 'young rider' so general Shirt fits best.,Girls Shirt; shirts,Clothing > Tops > Shirt,/clothing/tops/shirts,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,ariat
gid://shopify/Product/10131077431588,pure-western-women-s-tahnee-print-long-sleeve-shirt-10,Pure Western Women’s Tahnee Print Long Sleeve Shirt 10,Shire Saddleworld,(No Product Type),Ladies Shirt,90,auto,Title specifies women’s long sleeve shirt.,shirts,Clothing > Ladies Clothing > Ladies Top,/clothing/womens/tops,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131077497124,ringers-western-james-belt,Ringers Western James Belt,Shire Saddleworld,(No Product Type),Belt,95,auto,Title and description identify a leather belt with buckle.,belts; CLOTHING: Belts,Clothing > Clothing Accessories > CLOTHING: Belts,/clothing/accessories/belts,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131077529892,rubber-massage-curry-comb,Rubber massage curry comb,Shire Saddleworld,(No Product Type),"Horse Grooming Combs, Brushes & Mitts",86,auto,Title/description indicate a curry comb grooming tool for horses.,Grooming Products; Horse Grooming,"Horse > Coat, Hoof & Grooming > brush",/horse/grooming/brushes,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
gid://shopify/Product/10131077693732,elite-performance-series-training-shirt-blueberry,Elite Performance Series Training Shirt - Blueberry,Shire Saddleworld,(No Product Type),shirt,78,auto,Title and description describe a training shirt for riding; no gender specified so generic Shirt fits best.,shirts; Shirts & Tops; top,Clothing > Tops > Shirt,/clothing/tops/shirts,,globo_basis_collection; shire-saddleworld,gpt-5.2-codex,no,
